Rank,HS6_Code,Short_Name_ENG,ESRI_Score
465,275121,Vacuum cleaners with a se,0.0021874824073532706
466,161099,Sub-contracted operations,0.0021716016590669373
467,310111,Metal furniture for offic,0.0021217050055016744
468,203011,"Paints and varnishes, bas",0.0021007864496452437
469,203022,Oil paints and varnishes ,0.0020565572608034046
470,259912,"Table, kitchen or househo",0.0020522442189131957
471,141414,Women’s or girls’ briefs ,0.0020441591044335315
472,289452,Parts for household or la,0.0020441326696014808
473,279099,Sub-contracted operations,0.00204015231034782
474,282514,Machinery and apparatus f,0.002016015841101542
475,162320,Prefabricated buildings o,0.002013302124895274
476,332050,Installation of electric ,0.002006558555211281
477,289512,Parts of machinery for ma,0.0019328482730603023
478,281420,"Parts for taps, cocks, va",0.0019325357696848623
479,141921,Babies clothing and acces,0.0019122951361053744
480,265112,Theodolites and tachymetr,0.0019064337670274805
481,222910,Plastic articles of appar,0.0019015742432292788
482,252113,Parts of boilers for cent,0.0018851059574109875
483,268013,"Other recording media, in",0.0018834819304769717
484,282943,Automatic goods-vending m,0.0018825707726311813
485,275211,Iron or steel gas domesti,0.0018402461116251568
486,331225,Repair and maintenance of,0.0018197583004418718
487,161039,"Other wood in the rough, ",0.0018128408405614716
488,289610,Injection-moulding machin,0.0018072196505527268
489,282921,Machinery for cleaning or,0.0017835858008387064
490,172211,Toilet paper,0.0017483811536326548
491,310091,Upholstering services of ,0.0017410570632961347
492,310299,Sub-contracted operations,0.0017366983520690808
493,201113,Liquid air; compressed ai,0.0017251866706397066
494,324042,Articles and accessories ,0.0017058459954160943
495,141322,Men’s or boys’ suits & en,0.0017044653762330049
496,325030,"Dentists’, barbers’ or si",0.0017024852312023807
497,282999,Sub-contracted operations,0.001691188908350991
498,289999,Sub-contracted operations,0.001667087312536866
499,275220,Iron or steel parts of st,0.0016450374522683435
500,331119,Repair and maintenance of,0.0016197659546190592
501,201352,Distilled and conductivit,0.0016188179512769622
502,181310,"Composition, plate-making",0.001611663064044836
503,261291,Services connected with p,0.0016061967590374911
504,252999,Sub-contracted operations,0.0015902314321299394
505,310099,Sub-contracted operations,0.0015706134479967384
506,329199,Sub-contracted operations,0.0015697189747309282
507,275212,Iron or steel gas domesti,0.0015618179501469234
508,274080,Assembly of lighting devi,0.001559101124499966
509,141412,Men’s or boys’ underpants,0.0015507441128216474
