Rank,HS6_Code,Short_Name_ENG,ESRI_Score
442,281216,"Hydraulic systems, with c",99435.04489395495
443,272022,"Electric accumulators, in",98451.31950003175
444,272024,Parts of electric accumul,98451.31950003175
445,244311,Refined unwrought lead (e,98451.31950003175
446,201331,Fluorides; fluorosilicate,98064.81944576261
447,141423,Women’s or girls’ blouses,98051.02317738239
448,292021,Containers specially desi,97608.839545796
449,172111,Corrugated paper and pape,97417.9336846758
450,257212,Base metal cylinder locks,97348.11423524284
451,141333,Women’s or girls’ jackets,97336.50623518406
452,289610,Injection-moulding machin,96588.86771226977
453,383225,Secondary raw material of,96412.6089674652
454,235112,Portland cement,96196.56501732157
455,204218,Dentifrices (including to,96068.64426915174
456,139224,Sleeping bags,96026.89781775113
457,201630,"Polyvinyl chloride, not m",96014.85996253073
458,110520,Brewing or distilling dre,95711.71683407955
459,271142,Measuring transformers ha,95696.4475122971
460,332042,Installation services of ,95544.1961942385
461,152013,Footwear with a wooden ba,95503.49510502793
462,264012,Radio broadcast receivers,95502.37107197563
463,284131,Numerically controlled be,95197.41743093533
464,242033,"Tubes and pipes, of circu",95158.0262127843
465,221940,Rubber transmission belts,95114.3975291022
466,222212,Plastic sacks and bags (i,95025.35805472112
467,261121,Semiconductor diodes,94828.42474652117
468,103211,Tomato juice,94792.65821343876
469,103913,"Dried onions, whole, cut,",94731.3291484044
470,104154,Refined sunflower-seed an,94386.80026227467
471,172112,"Sacks and bags, with a ba",93866.36203708028
472,52010,Brown cole,93726.61980084532
473,211010,Salicylic acid and its sa,93709.9408759932
474,259912,"Table, kitchen or househo",93054.58573083233
475,202014,Disinfectants based on qu,92850.57275185468
476,108917,Dietary supplements (prod,91945.76456051687
477,103217,Mixtures of fruit and veg,91875.7798465887
478,282921,Machinery for cleaning or,91651.35878827226
479,329953,"Instruments, apparatus an",91268.06631532423
480,201620,"Expansible polystyrene, i",91219.9182098416
481,331217,Repair and maintenance se,90476.38760859716
482,259315,Base metal coated electro,90459.25283130261
483,201464,"Other organic compounds, ",90045.00749595866
484,139221,"Sacks and bags, of cotton",89647.91320502042
485,244422,Copper and copper alloy b,89052.5643902115
486,161099,Sub-contracted operations,88785.58489818104
487,222921,Self-adhesive strips of p,88625.85004359891
488,331113,Repair and maintenance se,88326.4933296141
489,262022,"Solid-state, non-volatile",88196.56107061752
490,139510,Non-wovens of a weight ≤ ,88076.36085154841
491,282322,Parts and accessories of ,88070.24615226501
492,283060,Agricultural or horticult,86850.1755682923
493,106132,"Groats and meal of oats, ",86837.82579866087
494,271124,Multi-phase AC motors of ,86798.52965533582
495,279099,Sub-contracted operations,86727.0898953994
496,266012,Electro-cardiographs,86408.15449246287
497,289299,Sub-contracted operations,86137.73982899185
498,181310,"Composition, plate-making",86114.58084975519
499,233212,Non-refractory clay roofi,85762.26441134224
500,284922,Jigs and fixtures for spe,85102.12607378187
501,331224,Repair and maintenance of,84640.56680846555
502,282411,Electromechanical hand dr,84588.18236740372
503,281411,Pressure-reducing valves ,84543.58900952777
504,201640,"Polyacetals, in primary f",84281.29779656771
505,259112,"Tanks, casks, drums, cans",84023.16169584004
506,162915,Pellets of pressed and ag,83995.43821313459
507,291021,Vehicles with only spark-,83871.72170099951
508,282220,"Buckets, shovels, grabs a",83871.3144275706
